sample,field,tillage,irrigation,year,total.fame,actinomycete.67,actinomycete.83,actinomycete.85,actinomycete.99,actinomycete.105,actinomycete.119,g.minus.78,g.minus.100,g.minus.116,g.minus.117,g.plus.21,g.plus.22,g.plus.35,g.plus.37,g.plus.52,g.plus.53,g.plus.72,g.plus.73,g.plus.109,g.plus.111,amf.58,sap.fungi.87,sap.fungi.88,sap.fungi.89,sap.fungi.90,sap.fungi.91,sap.fungi.92,sap.fungi.93,sap.fungi.94,sap.fungi.95,euk.protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum
BE 1,BE1,no,yes,2017,121.114,7.256,3.667,1.031,0.347,1.483,0,1.479,0.101,0,4.472,0.602,0,5.603,2.709,3.699,0.227,2.108,1.999,0.135,0,6.279,0.598,0.342,0.266,4.317,10.238,0,9.602,0,1.482,1.289,36.918,33.124,0.897,17.082,6.052,13.784
BE 2,BE1,no,yes,2017,103.047,6.119,4.376,0.943,0.288,1.499,0,1.146,0.088,0,3.51,0.43,0,4.581,2.159,3.475,0.185,2.001,1.939,0.145,0,5.826,0.486,0.309,0.22,3.71,9.448,0,8.179,0,1.341,0.994,32.884,29.519,0.898,14.915,4.744,13.225
BE 3,BE1,no,yes,2017,130.25,6.815,3.785,1.258,0.433,1.761,0,1.411,0.146,0,3.954,0.587,0,5.64,3.119,4.008,0.2,2.128,2.154,0.11,0,4.313,0.488,0.46,0.297,5.587,12.526,0,8.352,0,1.748,0.967,37.509,33.771,0.9,17.946,5.511,14.052
BE 4,BE1,no,yes,2017,153.313,7.917,4.075,1.547,0.472,2.221,0,1.685,0.163,0,3.939,0.696,0,6.507,3.668,4.991,0.257,2.475,2.659,0.26,0,5.612,0.54,0.52,0.34,6.317,13.523,0,11.705,0,2.89,1.225,43.532,41.447,0.952,21.513,5.787,16.232
MH 1,MH1,no,no,2017,177.253,5.501,1.607,1.836,0.507,1.578,0,1.631,0.122,0,2.264,1.156,0.549,7.758,4.421,5.62,0.477,2.214,2.976,0.199,0,4.953,0.682,0.538,0.243,14.461,19.732,0,9.377,0,2.811,0.954,40.416,52.797,1.306,25.37,4.017,11.029
MH 2,MH2,no,no,2017,153.924,6.484,1.495,1.729,0.477,1.819,0,1.743,0,0,2.527,0.69,0,7.637,3.909,4.971,0.314,2.469,2.567,0.19,0,5.483,0.453,0.508,0.251,10.115,15.944,0,8.149,0,3.897,0.759,39.021,44.8,1.148,22.747,4.27,12.004
MH 3,MH3,no,no,2017,150.448,5.475,1.463,1.506,0.476,1.612,0,1.496,0.146,0,2.289,0.653,0,6.385,4.112,4.752,0.259,2.059,2.486,0.184,0,4.787,0.432,0.563,0.215,11.598,16.429,0,9.717,0,2.592,0.676,35.353,46.333,1.311,20.89,3.931,10.532
MH 4,MH4,no,no,2017,107.292,4.651,1.598,1.191,0.332,1.281,0,1.173,0,0,1.94,0.51,0,5.187,2.662,3.76,0.188,1.758,1.876,0.165,0,3.38,0.34,0.395,0.15,7.062,11.965,0,5.19,0,1.94,0.558,28.272,30.422,1.076,16.106,3.113,9.053
JB 1,JB1,no,yes,2017,108.782,5.737,1.142,0.952,0.457,1.129,0,1.089,0.095,0,2.963,0.571,0,5.609,2.88,2.982,0.206,1.869,1.865,0.13,0,6.289,0.265,0.39,0.137,5.198,10.306,0,7.711,0,2.391,0.664,29.676,32.687,1.101,16.112,4.147,9.417
JB 2,JB1,no,yes,2017,207.91,9.222,2.4,1.574,0.944,2.039,0,2.023,0.104,0,5.956,1.306,0.097,9.705,5.41,5.629,0.481,3.269,3.31,0.289,0,18.675,0.615,0.781,0.305,9.94,17.499,0,14.362,0,4.568,1.972,53.758,66.745,1.242,29.496,8.083,16.179
