sample,texture,pHw,pHb,P,K,Mg,Ca,S1,B1,Zn1,Mn1,Fe1,Cu1,CEC,K2,Mg2,Ca2,H,OM,no3.ppm,nh4.ppm,
BE 1,clay loam,8,7.8,77,1499,1828,5608,22,4.36,5.03,416,72,6.26,25.15,7.63,30.27,55.72,6.35,1.51,7.31,1.08,
BE 2,clay loam,8.1,7.8,26,1204,1853,6092,17,4.6,3.96,410,72,6.62,26.09,5.91,29.58,58.36,6.13,1.41,7.01,1.03,
BE 3,clay loam,7.9,7.75,24,958,1775,5683,17,4.01,4.78,385,70,5.83,24.83,4.94,29.78,57.21,8.05,1.75,8.13,1.96,
BE 4,clay loam,7.8,7.7,76,1443,1796,5637,19,4.07,4.41,392,72,5.53,25.82,7.16,28.97,54.56,9.29,1.48,7.88,1,
JB 1,sandy loam,8.3,7.9,131,937,1459,8278,68,4.12,6.49,61,53,2.15,28.77,4.17,21.12,71.91,2.78,0.56,15.29,1.08,
JB 2,sandy loam,8.2,7.85,55,965,1767,8110,112,5.79,2.93,105,48,2.3,30.07,4.11,24.48,67.41,3.99,0.76,15.49,1.19,
JB 3,sandy loam,8.3,7.9,67,934,1480,8563,176,4.62,3.88,83,45,1.9,29.57,4.04,20.85,72.39,2.7,0.75,17.5,1.48,
JB 4,sandy loam,8.5,7.9,54,747,1505,9262,50,3.76,3.11,69,39,1.58,31.18,3.07,20.1,74.25,2.56,0.73,13.41,1.28,
JB 5,sandy loam,8.3,7.9,34,436,292,9416,11,1.38,1.04,77,36,1.5,26.11,2.14,4.65,90.13,3.06,0.31,2.07,1.21,
JB 6,sandy loam,8.4,7.9,46,544,318,9060,12,1.54,1.8,89,50,1.86,25.47,2.73,5.2,88.91,3.14,0.45,6.25,2.2,
JB 7,sandy loam,8.2,7.9,30,488,344,9062,10,1.59,2.06,97,53,2.14,25.51,2.45,5.61,88.79,3.13,0.4,2.3,2.28,
JB 8,sandy loam,8.4,7.9,26,555,336,8452,13,1.56,1,122,46,2.12,24.04,2.95,5.82,87.88,3.32,0.52,2.63,2.04,
JB 9,sandy loam,8.2,7.9,154,764,1751,5238,77,4.21,4.65,111,58,1.87,22.17,4.41,32.9,59.06,3.6,0.72,18.31,2.17,
JB 10,sandy loam,8.3,7.85,178,948,1661,5904,65,4.68,4.84,93,58,1.76,24.09,5.04,28.72,61.25,4.98,0.8,22.88,1.87,
JB 11,sandy loam,8.4,7.9,72,538,1477,3595,46,3.58,2.66,89,58,1.7,16.63,4.14,37,54.03,4.81,0.54,3.75,1.57,
JB 12,sandy loam,8.4,7.9,107,715,1822,2650,73,4.19,4.29,120,77,1.99,15.93,5.75,47.64,41.57,5.02,0.65,9.73,1.77,
MH 1,sandy loam,7.5,7.85,122,937,389,3381,7,1.21,1.62,190,102,2.37,12.47,9.62,12.99,67.75,9.61,0.69,0.31,1.87,
MH 2,sandy loam,7.6,7.8,144,1482,457,3650,9,1.72,2.31,191,95,2.37,14.52,13.07,13.1,62.8,11.01,1.01,1.49,2.22,
MH 3,sandy loam,7.8,7.85,126,936,341,3682,8,1.41,1.9,169,77,2.41,13.02,9.21,10.9,70.66,9.21,0.95,0.41,1.6,
MH 4,sandy loam,7.7,7.8,128,1056,389,3929,9,1.58,2.02,207,86,2.7,14.39,9.4,11.25,68.22,11.11,0.81,0.6,1.36,
JB 1,sandy loam,7.7,7.85,134,565,1034,2548,46,2.56,7.93,97,76,2.02,12.6,5.74,34.18,50.54,9.52,0.53,2.92,1.28,
JB 2,sandy loam,8.4,7.9,88,615,1366,8682,51,3.6,4.31,61,39,1.55,28.98,2.72,19.63,74.88,2.76,0.58,3.52,0.74,
JB 3,sandy loam,8.3,7.85,90,708,1334,3154,31,3.13,4.26,79,60,1.81,15.55,5.83,35.74,50.7,7.71,0.48,2.28,1.1,
JB 4,sandy loam,8.2,7.9,141,551,1218,3935,56,3.5,5.62,82,58,1.84,16.41,4.3,30.9,59.91,4.87,0.54,1.69,0.49,
JB 5,sandy loam,6.3,7.8,13,449,327,2455,13,0.83,0.49,106,60,1.72,9.67,5.94,14.08,63.43,16.53,0.22,0.48,1.29,
JB 6,sandy loam,8.3,7.9,36,535,311,9764,14,1.39,1.15,80,31,1.88,27.19,2.52,4.76,89.76,2.94,0.27,0.88,0.38,
JB 7,sandy loam,8.4,7.85,42,479,302,10350,12,1.47,1.13,79,32,1.75,28.94,2.12,4.34,89.38,4.14,0.31,1.12,0.61,
JB 8,sandy loam,8.4,7.9,42,548,345,10420,15,1.49,1.21,81,37,1.81,28.99,2.42,4.95,89.85,2.75,0.35,1.33,0.94,
JB 9,sandy loam,8.1,7.9,109,634,1599,2442,14,2.98,7.86,106,62,1.75,14.38,5.65,46.33,42.45,5.56,0.59,1.53,0.81,
JB 10,sandy loam,8.4,7.85,168,686,1618,2525,31,3.38,5.07,103,65,1.91,15.13,5.81,44.54,41.71,7.92,0.37,3.4,2.16,
JB 11,sandy loam,8.1,7.85,95,691,1613,2271,14,2.8,6.68,104,67,1.68,14.48,6.11,46.4,39.19,8.28,0.49,1.5,1.48,
JB 12,sandy loam,7.9,7.9,149,919,1325,2194,21,2.81,4.61,100,67,1.67,12.98,9.07,42.52,42.24,6.16,0.56,1.62,1.92,
MH 1,sandy loam,7.5,7.8,187,1235,464,3853,16,1.44,2.53,195,100,2.58,14.74,10.73,13.1,65.3,10.84,0.77,4.31,1.29,
MH 2,sandy loam,7.3,7.75,172,1315,464,3850,16,1.63,2.38,215,98,2.76,15.24,11.05,12.68,63.13,13.11,0.73,1.6,0.66,
MH 3,sandy loam,7.3,7.75,163,1338,500,4230,19,1.85,2.46,246,102,3.02,16.37,10.47,12.72,64.58,12.21,0.65,0.58,0.77,
MH 4,sandy loam,7.2,7.85,138,1081,414,3401,15,1.34,1.95,195,89,2.47,12.81,10.81,13.46,66.35,9.36,0.46,0.66,0.57,
BE 1,clay loam,7.8,7.8,73,1272,1763,5363,22,4.14,5.29,425,75,6.68,23.98,6.79,30.62,55.9,6.67,1.63,3.52,1.03,
BE 2,clay loam,7.7,7.75,66,1689,1676,5417,22,4.19,4.91,430,70,6.69,24.69,8.76,28.28,54.84,8.1,1.63,2.65,1.37,
BE 3,clay loam,7.7,7.75,73,1247,1574,5003,17,3.6,3.73,397,67,5.5,22.66,7.05,28.93,55.18,8.82,1.51,0.06,0.92,
BE 4,clay loam,7.7,7.8,95,1074,1662,5055,24,3.76,6.68,399,69,5.44,22.53,6.1,30.72,56.06,7.09,1.51,7.9,1.56,
JB 1,sandy loam,8.2,7.9,197,905,1424,3629,35,3.77,8.63,81,53,1.83,16.96,6.83,34.97,53.47,4.71,0.49,4.8954,1.7844,
JB 2,sandy loam,7.9,7.85,118,764,1312,3345,27,3.47,9.22,75,58,2.01,16,6.11,34.14,52.23,7.49,0.5,4.3483,1.6173,
JB 3,sandy loam,8.2,7.9,146,776,1684,4225,38,4.48,13.07,105,54,2.22,19.37,5.13,36.21,54.51,4.12,0.59,4.4357,1.7847,
JB 4,sandy loam,8.1,7.85,80,587,1560,2951,26,3.86,5.92,77,48,1.5,15.83,4.75,41.06,46.6,7.58,0.75,6.4439,1.8009,
JB 5,sandy loam,8.2,7.9,22,449,347,14464,25,1.6,0.36,56,21,1.43,38.98,1.47,3.7,92.76,2.05,0.34,1.9588,1.4318,
JB 6,sandy loam,8.1,7.9,38,490,336,11915,17,1.51,0.69,76,28,1.36,32.61,1.92,4.29,91.32,2.45,0.16,1.7042,1.4455,
JB 7,sandy loam,8.3,7.9,26,556,320,9731,20,1.2,0.69,77,32,1.19,27.17,2.62,4.9,89.52,2.94,0.27,1.7525,1.3833,
JB 8,sandy loam,8.2,7.9,23,441,355,9757,17,1.36,0.71,82,36,1.26,27.23,2.07,5.43,89.55,2.93,0.2,1.4177,0.9807,
JB 9,sandy loam,7.9,7.85,172,957,1556,3003,20,3.31,5.66,125,55,1.93,16.41,7.47,39.48,45.72,7.3,0.62,3.0793,1.5383,
JB 10,sandy loam,8,7.85,84,711,1336,2164,19,3.67,3.9,108,53,1.76,13.08,6.96,42.53,41.33,9.16,0.55,4.6439,1.4774,
JB 11,sandy loam,8,7.9,122,871,1531,2684,23,3.86,5.33,124,53,1.45,15,7.44,42.51,44.71,5.33,0.27,5.4498,1.4637,
JB 12,sandy loam,8.1,7.85,107,805,1274,2459,16,3.16,3.32,114,58,1.43,13.68,7.53,38.78,44.91,8.76,0.49,4.2482,1.5132,
MH 1,sandy loam,7.2,7.8,116,887,423,3915,17,1.39,1.32,206,90,2.32,14.28,7.95,12.33,68.5,11.19,0.47,1.4621,1.5287,
MH 2,sandy loam,7.5,7.8,158,1157,480,4080,16,1.64,1.83,192,87,2.36,15.28,9.7,13.08,66.73,10.46,0.63,2.6996,1.5161,
MH 3,sandy loam,7.3,7.8,136,992,425,3841,17,1.33,1.45,198,88,2.33,14.24,8.92,12.43,67.4,11.23,0.59,1.4663,2.0215,
MH 4,sandy loam,7.2,7.8,154,1078,432,3653,16,1.17,1.66,182,79,2.06,13.91,9.93,12.93,65.63,11.49,0.55,1.4246,1.8591,
BE 1,clay loam,7.8,7.75,74,1227,1625,5504,22,3.82,4.87,406,57,5.33,24.1,6.52,28.09,57.08,8.29,1.05,3.1332,2.0873,
BE 2,clay loam,7.7,7.75,35,1285,1760,5687,24,4.65,3.94,406,54,5.6,25.19,6.53,29.1,56.42,7.93,1.24,4.4131,2.131,
BE 3,clay loam,7.5,7.8,94,1200,1857,5700,26,3.9,6.42,421,54,5.15,25.12,6.12,30.79,56.71,6.36,1.47,4.2053,2.1965,
BE 4,clay loam,7.8,7.75,28,1019,1726,5521,21,3.84,5.23,407,56,5.25,24.3,5.37,29.59,56.79,8.23,1.25,5.0852,2.8819,
RN 1,sandy clay loam,8.5,7.85,28,1143,1788,4489,26,6.39,2.4,339,80,4.4,21.33,6.86,34.91,52.59,5.62,1.16,6.67,1.24,
RN 2,sandy clay loam,8.3,7.85,25,681,1858,5252,29,6.03,3.48,338,85,4.79,22.94,3.8,33.74,57.22,5.22,1.24,9.11,1.46,
RN 3,sandy clay loam,8.3,7.85,39,943,1769,4335,21,6.73,2.74,350,84,4.59,20.61,5.86,35.75,52.56,5.82,1.12,6.3,1.57,
RN 4,sandy clay loam,8.5,7.85,88,1289,1885,4766,44,6.56,8.16,355,86,4.03,22.62,7.3,34.71,52.67,5.3,1.42,8.31,1.73,
RN 5,sandy clay loam,7.3,7.85,150,1042,1600,4022,33,4.91,6.25,313,153,4.37,19.25,6.93,34.61,52.21,6.23,1.28,12.02,1.65,
RN 6,sandy clay loam,7.3,7.85,69,1240,1602,3494,23,4.28,5.97,311,175,4.53,18.19,8.73,36.67,47.99,6.59,1.25,7.5,1.28,
RN 1,sandy clay loam,8.2,7.85,91,1247,1629,4394,27,6.48,7.45,308,76,3.89,20.57,7.77,32.99,53.39,5.83,1.34,11.96,1.52,
RN 2,sandy clay loam,8.2,7.85,55,1113,1748,4426,25,7.04,5.08,316,81,4.39,20.97,6.8,34.72,52.75,5.72,1.37,11.03,1.3,
RN 3,sandy clay loam,8.3,7.85,56,1312,1564,3925,20,5.65,4.33,315,72,3.75,19.21,8.75,33.92,51.07,6.24,1.07,4.75,1.6,
RN 4,sandy clay loam,8.6,7.85,59,1158,1649,4423,34,6.92,4.32,341,73,3.95,20.61,7.2,33.33,53.64,5.82,1.11,8.96,1.15,
RN 5,sandy clay loam,8.1,7.85,114,1004,1443,3652,22,4.83,5.85,304,96,3.94,17.62,7.3,34.1,51.78,6.8,1.3,8.35,0.85,
RN 6,sandy clay loam,8.1,7.85,109,1127,1673,3702,22,4.86,6.34,302,117,4.65,18.87,7.65,36.93,49.04,6.35,1.38,7.56,1.53,
RN 1,sandy clay loam,8.4,7.8,149,1292,1716,4779,30,6.57,8.91,304,79,4.45,22.35,7.4,31.98,53.44,7.15,1.43,8.48,1.47,
RN 2,sandy clay loam,8.4,7.8,63,1469,1920,4693,31,6.66,6.48,340,86,5.1,23.21,8.11,34.45,50.53,6.89,1.54,9.92,1.43,
RN 3,sandy clay loam,8.5,7.85,70,1101,1724,4136,30,7.49,5.89,328,75,4.44,20.13,7.01,35.67,51.35,5.95,1.22,9.69,1.11,
RN 4,sandy clay loam,8.6,7.85,93,1257,1882,5064,39,7,7.83,355,78,4.63,23.31,6.91,33.63,54.3,5.14,1.39,6.7,1.21,
RN 5,sandy clay loam,8.3,7.85,159,1301,1687,4276,29,5.19,8.84,315,155,5.1,20.58,8.1,34.14,51.92,5.82,1.33,6.79,1.51,
RN 6,sandy clay loam,8.1,7.8,57,1350,1653,3986,26,3.75,5.71,270,160,4.7,20.18,8.57,34.12,49.37,7.92,1.36,4.43,1.47,
RN 1,sandy clay loam,8.3,7.85,79,1135,1575,4277,23,5.57,8.31,301,73,4.09,19.91,7.3,32.96,53.7,6.02,1.36,3.51,2.44,
RN 2,sandy clay loam,8.2,7.8,45,1104,1810,4310,28,6.19,6.05,319,85,4.7,21.33,6.63,35.35,50.51,7.5,1.49,3.9,2.01,
RN 3,sandy clay loam,8.3,7.85,59,1080,1672,3842,17,6.17,4.89,332,70,4.15,19.15,7.22,36.36,50.14,6.26,1.12,3.39,2.92,
RN 4,sandy clay loam,8.4,7.85,95,1364,1830,5175,27,7.24,7.87,367,79,4.5,23.51,7.43,32.43,55.02,5.1,1.2,2.3,1.94,
RN 5,sandy clay loam,8.1,7.85,114,993,1636,3950,20,5.37,7.22,336,114,4.74,19.16,6.64,35.56,51.52,6.26,1.28,3.68,2.41,
RN 6,sandy clay loam,7.7,7.8,58,1075,1694,3198,15,3.62,3.46,338,118,5.01,18.03,7.64,39.14,44.33,8.87,1.04,1.84,2.5,
TG 1,sandy loam,8.6,7.85,50,883,1761,5901,69,6.92,4.6,144,83,3.57,24.42,4.63,30.04,60.4,4.91,0.96,15.65,2.16,
TG 2,sandy loam,8.3,7.85,51,736,1328,2625,22,4.8,3.58,109,79,2.64,14.23,6.62,38.85,46.08,8.42,0.78,2.5,3,
TG 3,sandy loam,8.2,7.85,139,931,1260,2783,17,4.1,6.93,138,78,2.42,14.6,8.17,35.95,47.65,8.21,0.79,2,2.14,
TG 4,sandy loam,8.2,7.85,49,862,1331,2580,18,4.63,3.85,155,76,2.86,14.3,7.72,38.77,45.1,8.39,0.66,2.13,2.29,
